"family","species","rec_gbif"
"Tyrannidae",98,12661
"Thraupidae",66,11113
"Thamnophilidae",65,4577
"Furnariidae",50,3737
"Trochilidae",40,3357
"Accipitridae",33,3962
"Psittacidae",27,8245
"Cotingidae",25,3105
"Icteridae",20,5992
"Picidae",18,3355
"Ardeidae",16,3239
"Columbidae",16,3426
"Bucconidae",14,1611
"Hirundinidae",14,2169
"Falconidae",14,2680
"Scolopacidae",13,324
"Pipridae",12,1159
"Vireonidae",11,435
"Cardinalidae",11,764
"Turdidae",11,1314
"Cuculidae",11,3261
"Caprimulgidae",10,441
"Strigidae",10,948
"Rallidae",9,424
"Cracidae",9,823
"Trogonidae",9,1298
"Ramphastidae",9,2014
"Parulidae",8,71
"Galbulidae",8,619
"Tinamidae",8,1468
"Apodidae",7,1516
"Troglodytidae",7,2600
"Anatidae",6,248
"Fringillidae",6,1339
"Threskiornithidae",5,295
"Laridae",5,1454
"Alcedinidae",5,1949
"Cathartidae",5,3952
"Formicariidae",4,83
"Grallariidae",4,94
"Charadriidae",4,365
"Emberizidae",4,798
"Capitonidae",4,1498
"Polioptilidae",3,26
"Momotidae",3,80
"Nyctibiidae",3,257
"Ciconiidae",2,39
"Rhinocryptidae",2,97
"Tytonidae",1,1
"Phasianidae",1,2
"Burhinidae",1,2
"Recurvirostridae",1,2
"Coerebidae",1,23
"Odontophoridae",1,33
"Conopophagidae",1,37
"Psophiidae",1,42
"Aramidae",1,70
"Eurypygidae",1,86
"Corvidae",1,115
"Heliornithidae",1,148
"Opisthocomidae",1,175
"Anhingidae",1,178
"Pandionidae",1,303
"Phalacrocoracidae",1,495
"Donacobiidae",1,529
"Anhimidae",1,573
"Jacanidae",1,901
NULL,0,21
